text,departments,severity,sos
Calling about a broken water main flooding the downtown street near Main St.,"Utilities,Public Works",55,0
There is a oil tanker leaking in the harbor near the East Side.,"Coastal Guard,Environmental",88,0
URGENT: domestic dispute with loud screaming near the Mall.,"Police,Social Services",52,0
URGENT: elderly person collapsed with chest pain near Oak Road.,Medical,93,0
I see a large warehouse fire with chemical containers near the East Side.,"Fire,Environmental,Medical",97,0
Reporting a aggressive pitbull attacking a pedestrian near Oak Road.,"Animal Control,Medical,Police",57,0
Calling about a pothole reported on a quiet residential street near Oak Road.,Public Works,28,1
URGENT: raccoon trapped in a residential chimney near the Mall.,Animal Control,12,0
I see a active shooter in the shopping mall near the Mall.,"Police,Medical",97,0
Reporting a oil tanker leaking in the harbor near Main St.,"Coastal Guard,Environmental",100,1
There is a explosion heard in the industrial district near Main St.,"Fire,Police,Medical,Utilities",100,0
There is a child found alone and shivering in the park near the East Side.,"Social Services,Police",30,0
Calling about a wildfire approaching residential area near the Mall.,"Fire,Police,Environmental",90,0
Calling about a wildfire approaching residential area near the Port.,"Fire,Police,Environmental",95,0
I see a stabbing incident during a street fight near the East Side.,"Police,Medical",86,0
Calling about a active shooter in the shopping mall near the Port.,"Police,Medical",100,1
URGENT: suicidal individual on the bridge ledge near the Mall.,"Police,Medical,Social Services",85,0
Calling about a pothole reported on a quiet residential street near Main St.,Public Works,28,1
There is a active shooter in the shopping mall near the Mall.,"Police,Medical",100,0
URGENT: gas smell in the apartment basement near Oak Road.,"Fire,Utilities",95,1
Reporting a aggressive pitbull attacking a pedestrian near Oak Road.,"Animal Control,Medical,Police",85,1
Reporting a oil tanker leaking in the harbor near Downtown.,"Coastal Guard,Environmental",87,0
Calling about a raccoon trapped in a residential chimney near the Mall.,Animal Control,12,0
There is a stabbing incident during a street fight near the Mall.,"Police,Medical",100,1
Calling about a gas smell in the apartment basement near the Port.,"Fire,Utilities",95,1
I see a vandalism and graffiti on the school wall near Oak Road.,"Police,Public Works",18,0
URGENT: broken water main flooding the downtown street near the Port.,"Utilities,Public Works",80,1
Calling about a aggressive pitbull attacking a pedestrian near Main St.,"Animal Control,Medical,Police",65,0
Calling about a explosion heard in the industrial district near Oak Road.,"Fire,Police,Medical,Utilities",99,0
URGENT: street light out at a busy intersection near the East Side.,"Public Works,Utilities",32,1
There is a active shooter in the shopping mall near the Port.,"Police,Medical",100,0
There is a identity theft and fraudulent credit cards near the Suburbs.,"Cyber,Police",44,0
